Keyword,Expected,Algorithm Accuracy Result,Priority Number,Average Precision,Precision,Recall
pancopet,peanyakét,0.50,6,1.00,0.10,0.10
palet,palém,0.67,10,1.00,0.40,0.40
paleng,dalông,0.71,6,1.00,0.60,0.60
paleh,palét,0.67,10,1.00,0.30,0.30
paket,palét,0.67,10,1.00,0.20,0.20
meulilet,meusulét,0.67,4,1.00,0.30,0.30
meulek,meuseuké,0.67,10,1.00,0.30,0.30
meulapeh-lapeh,meupeungarôh,0.50,10,1.00,0.10,0.10
meulakee,jeulamèe,0.67,9,1.00,0.20,0.20
meulabo,keulabèe,0.67,10,1.00,0.80,0.80
meuklep,pumeuklèh,0.60,6,1.00,0.20,0.20
meukilok-kilok,meusilang-saléng,0.47,9,1.00,0.30,0.30
meukeutupep,meugeurupéng,0.62,3,1.00,0.10,0.10
eunchok,eunchôk,0.88,1,1.00,0.10,0.10
pena,pèng,0.60,3,1.00,0.20,0.20
pe,pré,0.50,9,0.00,0.00,0.00
patot,palét,0.67,10,1.00,0.20,0.20
patong,paléng,0.71,6,1.00,0.70,0.70
patee,palèe,0.67,7,1.00,0.20,0.20
pasokan,pasôkan,0.88,1,1.00,0.10,0.10
paseh,gaséh,0.67,6,1.00,0.10,0.10
parot,Marèt,0.67,10,1.00,0.30,0.30
pareksa,parlemèn,0.56,10,1.00,0.20,0.20
panton,panté,0.67,8,1.00,0.60,0.60
pansion,prèsidèn,0.60,7,1.00,0.60,0.60
pangkee,pangulèe,0.67,10,1.00,0.80,0.80
panggoi,tanggôh,0.62,10,1.00,0.80,0.80
pangeran,pangèran,0.89,1,1.00,0.30,0.30
pamplet,palét,0.57,7,1.00,0.20,0.20
palong,dalông,0.71,6,1.00,0.60,0.60
palem,malém,0.67,10,1.00,0.20,0.20
palee,paléh,0.67,10,1.00,0.50,0.50
pake,piké,0.60,10,1.00,0.20,0.20
pajoh,paléh,0.67,5,1.00,0.10,0.10
pade,palèe,0.67,5,1.00,0.20,0.20
pacok,parék,0.67,4,1.00,0.10,0.10
pabrek,tarék,0.50,6,1.00,0.10,0.10
on,jén,0.50,10,0.00,0.00,0.00
meukemah,meureuôh,0.67,9,1.00,0.40,0.40
meukawen,meulaèn,0.62,10,1.00,0.20,0.20
meujuntee,meulônté,0.60,9,1.00,0.20,0.20
meuireng-ireng,meuampông-ampông,0.56,6,1.00,0.20,0.20
meuikot,peungikôt,0.60,10,1.00,0.20,0.20
meuhoi,meuhôi,0.86,1,1.00,0.30,0.30
meugule,mubulèe,0.62,8,1.00,0.50,0.50
mengreb,meuurôt,0.50,10,1.00,0.10,0.10
meugeurupeng,teurupông,0.58,7,1.00,0.10,0.10
meugampong,meugandéng,0.73,7,1.00,1.00,1.00
meudrep-drep,meuiréng-iréng,0.50,7,1.00,0.10,0.10
meudesya,meuseuké,0.56,10,1.00,0.10,0.10
meucureh,meuurôt,0.62,7,1.00,0.10,0.10
meuceh,meucuréh,0.67,9,1.00,0.20,0.20
meubeude,meubulèe,0.67,9,1.00,0.50,0.50
meuato,meuranté,0.67,9,1.00,0.70,0.70
meuase,meujamèe,0.67,10,1.00,0.80,0.80
meuampong,peuampôn,0.67,10,1.00,0.70,0.70
meuadee,meulakèe,0.67,10,1.00,0.60,0.60
meu'en-meu'en,meu'èn-meu'én,0.87,1,1.00,0.10,0.10
merek,dèrèk,0.57,8,1.00,0.10,0.10
men,èsmènèn,0.50,10,1.00,0.20,0.20
meja,mètè,0.50,10,1.00,0.20,0.20
meh,wèh,0.50,10,1.00,0.20,0.20
mbong,cumbông,0.62,7,1.00,0.20,0.20
mateh,maté,0.60,10,1.00,0.10,0.10
mate,saté,0.60,10,1.00,0.50,0.50
masineh,manéh,0.57,6,1.00,0.10,0.10
orkeh,cukèh,0.50,8,1.00,0.10,0.10
ok,uké,0.50,10,0.00,0.00,0.00
meujareng,meuraông,0.67,4,1.00,0.20,0.20
meujanggot,seulangkôt,0.64,5,1.00,0.30,0.30
meujamee,jeulamèe,0.67,10,1.00,0.20,0.20
meuikot-ikot,meukilôk-kilôk,0.50,9,1.00,0.20,0.20
meuhimpon,meuampông,0.60,10,1.00,0.20,0.20
meugule-gule,meuturôt-turôt,0.50,5,1.00,0.10,0.10
mengrop-grop,meuiréng-iréng,0.44,8,1.00,0.10,0.10
meugogo,meugulé,0.62,5,1.00,0.40,0.40
meuglong,meugampông,0.64,9,1.00,0.40,0.40
meugandeng,meulambông,0.64,9,1.00,0.40,0.40
meudroh,meutrôn,0.62,10,1.00,0.40,0.40
meudeungong,meudeungông,0.92,1,1.00,0.60,0.60
meucatet,meutaôt,0.62,5,1.00,0.10,0.10
meubulee,meugulé,0.62,9,1.00,0.20,0.20
meuangkot,meujanggôt,0.73,3,1.00,0.50,0.50
meuampong-ampong,meuiréng-iréng,0.50,10,1.00,0.10,0.10
meuabee,meujamèe,0.67,10,1.00,0.40,0.40
meu'en,meuthôn,0.62,10,1.00,0.20,0.20
mete,peuthèe,0.50,9,0.00,0.00,0.00
mentega,meugôgô,0.56,9,1.00,0.20,0.20
melodi,meulabô,0.50,9,1.00,0.10,0.10
Mee,jeuèe,0.50,5,0.00,0.00,0.00
mee,mèh,0.50,10,1.00,0.10,0.10
mbon,èsèlon,0.50,10,1.00,0.20,0.20
masen,masinèh,0.62,5,1.00,0.10,0.10
nyen,sayén,0.50,7,1.00,0.20,0.20
naseb,wajéb,0.50,10,1.00,0.20,0.20
musoh,mustahé,0.62,9,1.00,0.30,0.30
musikben,mungkén,0.50,10,1.00,0.10,0.10
mupalet,mupaké,0.57,9,1.00,0.40,0.40
munaph'ek,munaph'èk,0.90,1,1.00,0.20,0.20
mudek,kudôk,0.67,3,1.00,0.10,0.10
mubungkoh,pumeungklèh,0.58,7,1.00,0.10,0.10
muboi-boi,musikbèn,0.44,9,1.00,0.10,0.10
muble-ble,meugulé-gulé,0.50,6,1.00,0.10,0.10
mubeda,meubeudé,0.67,4,1.00,0.20,0.20
mubalek,mubèe,0.57,9,1.00,0.30,0.30
mubae,mubalék,0.62,10,1.00,0.20,0.20
nyeh,piyôh,0.50,9,1.00,0.10,0.10
numboi,teumbôn,0.50,9,1.00,0.10,0.10
neulet,peulét,0.71,3,1.00,0.30,0.30
nek,kôk,0.50,10,1.00,0.10,0.10
mustahe,musôh,0.57,5,1.00,0.30,0.30
musem,musôh,0.67,2,1.00,0.10,0.10
muphom,mupaké,0.57,5,1.00,0.10,0.10
mupake,muphôm,0.57,9,1.00,0.30,0.30
mungken,eungkôt,0.62,9,1.00,0.30,0.30
mumee,rumbèe,0.57,10,1.00,0.10,0.10
muleh,uléh,0.60,7,1.00,0.10,0.10
mubulee,mubalék,0.62,6,1.00,0.50,0.50
mublet-blet,meuikôt-ikôt,0.50,8,1.00,0.10,0.10
mubee,meuabèe,0.62,10,1.00,0.20,0.20
mubareh,mubalék,0.62,7,1.00,0.30,0.30
motel,mètè,0.50,9,1.00,0.10,0.10
modernisasi,modèrnisasi,0.92,1,1.00,0.10,0.10
milimete,miliôn,0.50,9,1.00,0.10,0.10
milek,tilék,0.67,3,1.00,0.20,0.20
mewah,mèwah,0.83,1,1.00,0.20,0.20
meuurot,meucuréh,0.67,10,1.00,0.70,0.70
meuunyet,meuurôt,0.62,4,1.00,0.20,0.20
meutumpok,teunumpôk,0.70,5,1.00,0.50,0.50
meutron,meutarôh,0.67,10,1.00,0.80,0.80
meuto-to,meutitèp,0.56,10,1.00,0.20,0.20
meuthon,peutrôn,0.62,10,1.00,0.70,0.70
menteuot,meuseuké,0.56,10,1.00,0.10,0.10
meutapeh,meutanggôh,0.64,7,1.00,0.30,0.30
meutanggoh,tanggôh,0.60,10,1.00,0.60,0.60
mantel,manyèt,0.57,9,1.00,0.10,0.10
mando,manéh,0.67,2,1.00,0.10,0.10
mameh,pumamèh,0.62,6,1.00,0.20,0.20
malem,hèlem,0.67,9,1.00,0.30,0.30
malee,pumalèe,0.62,10,1.00,0.30,0.30
mabok,mabôk,0.83,1,1.00,0.30,0.30
lusen,lukésan,0.62,4,1.00,0.10,0.10
moderen,meutrôn,0.50,7,1.00,0.20,0.20
misee,tipèe,0.50,10,1.00,0.10,0.10
minet,menteuôt,0.56,10,1.00,0.10,0.10
milion,èsèlon,0.50,9,1.00,0.20,0.20
mikroskop,siklép-siklap,0.43,10,1.00,0.10,0.10
meuturot-turot,peutumpôk-tumpôk,0.50,7,1.00,0.20,0.20
meutudong,meutudông,0.90,1,1.00,0.30,0.30
meutitep,meutapéh,0.56,10,1.00,0.10,0.10
meutaroh,meunarék,0.67,10,1.00,0.60,0.60
meutaot,meucatèt,0.67,10,1.00,0.50,0.50
meusyedara,meusaré,0.60,6,1.00,0.10,0.10
meusurot,meucuréh,0.67,8,1.00,0.60,0.60
Maret,parôt,0.67,3,1.00,0.20,0.20
manyet,manyèt,0.86,1,1.00,0.10,0.10
mantega,mantèl,0.57,9,1.00,0.30,0.30
mangkong,langsông,0.67,10,1.00,0.60,0.60
maneh,masinèh,0.62,8,1.00,0.20,0.20
malot,mupalét,0.62,6,1.00,0.10,0.10
malee-malee,calam-malôm,0.58,2,1.00,0.10,0.10
lungkee,lingkôk,0.62,10,1.00,0.40,0.40
lunceng,puntông,0.62,10,1.00,0.40,0.40
lumpok,tampôk,0.57,9,1.00,0.30,0.30
lumbem,gumbôk,0.57,10,1.00,0.10,0.10
luloh,uléh,0.60,8,1.00,0.10,0.10
lukesan,èlèktron,0.50,10,1.00,0.10,0.10
loteng,patông,0.57,7,1.00,0.10,0.10
lop,tôp,0.50,10,1.00,0.10,0.10
long,wéng,0.60,8,1.00,0.50,0.50
lon,èsèlon,0.62,8,1.00,0.20,0.20
logat,lagôt,0.67,2,1.00,0.10,0.10
lisek,léstrék,0.56,10,1.00,0.10,0.10
lipeh,ipôh,0.60,9,1.00,0.20,0.20
lingkok,linggéh,0.62,9,1.00,0.40,0.40
linggeh,lingkôk,0.62,4,1.00,0.10,0.10
lilet,cilèt,0.67,7,1.00,0.10,0.10
lilen,lilét,0.67,3,1.00,0.10,0.10
Ihon,èsèlon,0.50,10,1.00,0.40,0.40
leunde,éleumèe,0.67,4,1.00,0.30,0.30
leumbot,seumpét,0.62,8,1.00,0.50,0.50
leuho,leubô,0.67,9,1.00,0.40,0.40
leugot,peugèt,0.71,4,1.00,0.40,0.40
leubeng,reubông,0.75,6,1.00,1.00,1.00
leubeh,reubôh,0.71,3,1.00,0.40,0.40
let,laôt,0.60,9,1.00,0.30,0.30
lensa,séksa,0.50,10,1.00,0.10,0.10
leklang,leubéng,0.62,3,1.00,0.10,0.10
layee,kayèe,0.67,8,1.00,0.20,0.20
lawet,laôt,0.60,8,1.00,0.10,0.10
lapeh,la'èh,0.67,6,1.00,0.20,0.20
lambong,rambông,0.75,4,1.00,1.00,1.00
lukeh,ukeè,0.60,5,1.00,0.10,0.10
lotre,motèl,0.50,10,1.00,0.10,0.10
lonte,panté,0.50,10,1.00,0.10,0.10
lite,tipèe,0.50,9,1.00,0.10,0.10
linggong,langsông,0.67,9,1.00,0.40,0.40
likot,lilét,0.67,4,1.00,0.20,0.20
lhok,lhôk,0.80,1,1.00,0.50,0.50
Ihoh,èlèh,0.50,8,1.00,0.40,0.40
Ihee,lahèe,0.50,10,1.00,0.20,0.20
leungkong,leungkông,0.90,1,1.00,0.20,0.20
leumbeng,meusambông,0.64,10,1.00,0.40,0.40
leubo,leuhô,0.67,7,1.00,0.40,0.40
letnan,peuténah,0.56,10,1.00,0.10,0.10
lestrek,peutrôh,0.50,9,1.00,0.10,0.10
leng,wéng,0.60,10,1.00,0.40,0.40
lem,hèlem,0.67,10,1.00,0.30,0.30
le,lôp,0.50,10,1.00,0.10,0.10
layoh,jayéh,0.67,5,1.00,0.10,0.10
laot,lalô,0.60,8,1.00,0.20,0.20
langsong,mangkông,0.67,10,1.00,0.50,0.50
langet,lagôt,0.67,7,1.00,0.20,0.20
landok,langèt,0.57,10,1.00,0.30,0.30
lampoh,sampôh,0.71,2,1.00,0.30,0.30
lambayong,rambông,0.56,10,1.00,0.20,0.20
lalorat,salôran,0.62,3,1.00,0.20,0.20
lalo,laén,0.60,10,1.00,0.20,0.20
lalee,lalém,0.67,10,1.00,0.40,0.40
laklem,parlemèn,0.56,8,1.00,0.10,0.10
lahe,laén,0.60,9,1.00,0.30,0.30
lagot,laôt,0.60,10,1.00,0.20,0.20
lagee,lahèe,0.67,10,1.00,0.20,0.20
ladom,lalém,0.67,5,1.00,0.30,0.30
ladem,lalém,0.67,4,1.00,0.30,0.30
labo,lalô,0.60,10,1.00,0.40,0.40
la'eh,lapéh,0.67,3,1.00,0.10,0.10
kutep,kuncôp,0.57,10,1.00,0.20,0.20
kunengan,kontingèn,0.60,6,1.00,0.30,0.30
kuncop,pancopèt,0.56,4,1.00,0.10,0.10
kulet,pulôt,0.67,5,1.00,0.30,0.30
kueh,kukôh,0.67,7,1.00,0.60,0.60
kude,tubèe,0.50,10,1.00,0.30,0.30
kualitet,kualitét,0.89,1,1.00,0.10,0.10
etnologi,géôlôgi,0.50,8,1.00,0.20,0.20
etimologi,ètnologi,0.67,2,1.00,0.10,0.10
eseutilah,teupiléh,0.56,7,1.00,0.10,0.10
eselon,resimèn,0.50,10,1.00,0.10,0.10
enseueh,énseueh,0.88,1,1.00,0.30,0.30
embe,tambô,0.50,10,0.00,0.00,0.00
lalem,hèlem,0.67,10,1.00,0.30,0.30
lakee,lagèe,0.67,7,1.00,0.20,0.20
lahee,lagèe,0.67,6,1.00,0.10,0.10
laen,labô,0.60,10,1.00,0.10,0.10
kutop,teutôp,0.57,10,1.00,0.40,0.40
kurek,krèk,0.60,10,1.00,0.10,0.10
kupong,keupéng,0.75,4,1.00,0.50,0.50
kukoh,cukèh,0.67,5,1.00,0.20,0.20
kudok,kurék,0.67,6,1.00,0.40,0.40
kuarto,mubaréh,0.50,7,1.00,0.10,0.10
krot,krèk,0.60,6,1.00,0.40,0.40
kronomete,kronomètè,0.82,1,1.00,0.10,0.10
krek,grèk,0.60,10,1.00,0.20,0.20
kreh,kuéh,0.60,10,1.00,0.50,0.50
krangkeng,meuranggông,0.58,8,1.00,0.10,0.10
korset,krôt,0.50,9,1.00,0.10,0.10
kontrasepsi,kontrasèpsi,0.92,1,1.00,0.10,0.10
kontingen,sunténg,0.44,10,1.00,0.10,0.10
konsep,kontrasèpsi,0.50,10,1.00,0.20,0.20
kok,kôk,0.75,1,1.00,0.20,0.20
klep,lôp,0.50,8,1.00,0.10,0.10
kiree,tiréh,0.50,9,1.00,0.10,0.10
keurubet,keurubét,0.89,1,1.00,0.10,0.10
keureukon,ceureumèn,0.70,7,1.00,0.70,0.70
keuphon,keupéng,0.62,8,1.00,0.30,0.30
keumirem,teumirèe,0.67,5,1.00,0.40,0.40
keumawe,seumaté,0.62,6,1.00,0.30,0.30
keudee,seudéh,0.57,10,1.00,0.20,0.20
komponen,èsmènèn,0.50,5,1.00,0.10,0.10
kom,ukôm,0.60,10,1.00,0.30,0.30
kolonen,kronomètè,0.45,9,1.00,0.10,0.10
koeisien,kontingèn,0.50,5,1.00,0.10,0.10
kiroh,kréh,0.60,10,1.00,0.10,0.10
kirem,kirèe,0.67,3,1.00,0.10,0.10
khem,rhém,0.60,2,1.00,0.10,0.10
keurusong,seureléng,0.60,10,1.00,0.40,0.40
keureuleng,seureléng,0.70,10,1.00,1.00,1.00
keupong,teupông,0.75,4,1.00,1.00,1.00
keupeng,kupông,0.71,9,1.00,1.00,1.00
keunyeh,peuneuyôh,0.60,6,1.00,0.30,0.30
keundo,keunyèh,0.62,10,1.00,0.30,0.30
keulileng,peulindông,0.64,10,1.00,0.30,0.30
keuleudee,peuleugôt,0.60,10,1.00,0.20,0.20
keulabee,meuabèe,0.62,8,1.00,0.10,0.10
kereta,peureuté,0.56,9,1.00,0.10,0.10
kemah,keumawé,0.62,5,1.00,0.10,0.10
keju,kèju,0.80,1,1.00,0.20,0.20
kayee,kayém,0.67,4,1.00,0.10,0.10
kawoh,kawèn,0.67,5,1.00,0.30,0.30
kaset,kadèt,0.67,4,1.00,0.10,0.10
karonya,karônya,0.88,1,1.00,0.10,0.10
kareubet,reubôt,0.62,5,1.00,0.30,0.30
kapiten,katôn,0.57,5,1.00,0.10,0.10
kaphe,kayèe,0.67,3,1.00,0.20,0.20
kanto,panté,0.67,3,1.00,0.10,0.10
kameng,tamèng,0.71,3,1.00,0.30,0.30
kadet,kasèt,0.67,4,1.00,0.20,0.20
kabupaten,kapitèn,0.56,3,1.00,0.10,0.10
kabinet,kabarèt,0.62,3,1.00,0.10,0.10
kabaret,kabinèt,0.62,3,1.00,0.20,0.20
jujor,èkspor,0.43,10,1.00,0.10,0.10
jok,wajék,0.50,10,1.00,0.10,0.10
jilet,cilèt,0.67,6,1.00,0.10,0.10
jeulamee,keulabèe,0.67,8,1.00,0.20,0.20
eumbon,seumèn,0.57,9,1.00,0.20,0.20
kense,teuntèe,0.50,8,1.00,0.10,0.10
keker,teukeséh,0.44,10,1.00,0.10,0.10
keh,yôh,0.50,10,1.00,0.30,0.30
kayem,kawôm,0.67,3,1.00,0.10,0.10
kawom,kawèn,0.67,4,1.00,0.10,0.10
kawen,katôn,0.67,5,1.00,0.20,0.20
katon,kapitèn,0.62,9,1.00,0.30,0.30
kaso,wasé,0.60,4,1.00,0.20,0.20
kapho,kaphé,0.83,2,1.00,0.40,0.40
kandongan,kontingèn,0.60,8,1.00,0.30,0.30
kadot,kasèt,0.67,5,1.00,0.40,0.40
jurong,jundrông,0.67,7,1.00,0.30,0.30
juree,urèe,0.60,4,1.00,0.10,0.10
jundrong,jurông,0.62,8,1.00,0.30,0.30
jho,jén,0.50,10,1.00,0.10,0.10
jeuoh,reuôh,0.67,4,1.00,0.10,0.10
jeunamee,meujamèe,0.67,5,1.00,0.30,0.30
jeuee,jeuôh,0.67,6,1.00,0.40,0.40
jep,resèp,0.50,9,1.00,0.10,0.10
jen,jép,0.50,9,1.00,0.10,0.10
jayeh,jadèh,0.67,3,1.00,0.10,0.10
jarom,harôm,0.67,3,1.00,0.20,0.20
jareueng,jaréueng,0.89,1,1.00,1.00,1.00
jareng,jagông,0.71,9,1.00,0.90,0.90
jantong,janéng,0.71,9,1.00,1.00,1.00
jangket,tangkéh,0.62,10,1.00,0.90,0.90
janggot,sanggôp,0.62,10,1.00,0.70,0.70
janeng,jaréueng,0.67,6,1.00,0.50,0.50
jamprong,gampông,0.62,7,1.00,0.20,0.20
jampok,tampôk,0.71,4,1.00,0.50,0.50
jamoe,damée,0.67,8,1.00,0.30,0.30
jambo,gambé,0.67,5,1.00,0.10,0.10
jalo,lalô,0.60,6,1.00,0.10,0.10
jagong,janéng,0.71,5,1.00,0.50,0.50
ipoh,tipôih,0.57,10,1.00,0.20,0.20
ileh,gléh,0.60,10,1.00,0.30,0.30
ikot,diskèt,0.57,10,1.00,0.20,0.20
hukoman,meukèmah,0.56,10,1.00,0.10,0.10
homoseks,koèisièn,0.40,4,1.00,0.10,0.10
hoi,dhôi,0.60,5,1.00,0.10,0.10
hidrolik,hidrôlik,0.89,1,1.00,0.10,0.10
helikopter,likôt,0.40,10,1.00,0.10,0.10
hekeuta,hèkeuta,0.88,1,1.00,0.20,0.20
hek,nèk,0.50,9,1.00,0.10,0.10
harom,harôh,0.67,4,1.00,0.20,0.20
haroh,haléh,0.67,10,1.00,0.50,0.50
etnografi,ètnologi,0.44,8,1.00,0.10,0.10
haloh,harôh,0.67,6,1.00,0.30,0.30
haleh,harôh,0.67,8,1.00,0.40,0.40
jadeh,gadôh,0.67,4,1.00,0.10,0.10
jabep,salôp,0.50,10,1.00,0.10,0.10
itek,ipôk,0.60,4,1.00,0.20,0.20
ireh,iléh,0.60,10,1.00,0.20,0.20
ipok,tipèe,0.50,10,1.00,0.20,0.20
implensa,sampôreuna,0.45,7,1.00,0.10,0.10
ile,tipèe,0.50,10,1.00,0.10,0.10
iklem,polém,0.50,10,1.00,0.10,0.10
ijo,ilé,0.50,8,1.00,0.10,0.10
idong,idông,0.83,1,1.00,0.30,0.30
hukom,èseukrém,0.50,8,1.00,0.10,0.10
hotel,porselén,0.44,9,1.00,0.10,0.10
himbee,siribèe,0.50,6,1.00,0.10,0.10
hemat,seumaté,0.62,4,1.00,0.10,0.10
helem,hèlem,0.83,1,1.00,0.10,0.10
hebat,meuatô,0.57,9,1.00,0.10,0.10
hase,taksé,0.50,10,1.00,0.20,0.20
haro-hara,sandéwara,0.50,5,1.00,0.10,0.10
hambo,himbèe,0.57,10,1.00,0.10,0.10
hader,hadér,0.83,1,1.00,0.10,0.10
esmenen,èsmènèn,0.70,1,1.00,0.10,0.10
gutee,gukée,0.67,4,1.00,0.10,0.10
guree,urèe,0.60,9,1.00,0.20,0.20
eseukrem,seurenè,0.50,7,1.00,0.10,0.10
engse,sagèe,0.50,10,1.00,0.10,0.10
endatu,seumaté,0.50,6,1.00,0.10,0.10
emlak,teulôk,0.57,9,1.00,0.10,0.10
eleumee,keuleudèe,0.60,2,1.00,0.10,0.10
eleuham,éleuham,0.88,1,1.00,0.30,0.30
elektron,réflèktor,0.45,10,1.00,0.20,0.20
eleh,gléh,0.60,7,1.00,0.10,0.10
ekspor,èlèktron,0.40,10,1.00,0.10,0.10
eklektik,réflèktor,0.45,10,1.00,0.10,0.10
ek,peuék,0.50,10,0.00,0.00,0.00
ek,peuék,0.50,10,0.00,0.00,0.00
eh,péh,0.50,10,0.00,0.00,0.00
eh,péh,0.50,10,0.00,0.00,0.00
edisi,télépisi,0.50,10,1.00,0.10,0.10
'et,lét,0.50,10,1.00,0.30,0.30
'emblem,rumbèe,0.43,10,1.00,0.10,0.10
duson,èsèlon,0.50,10,1.00,0.10,0.10
dumpet,tumpôi,0.57,10,1.00,0.50,0.50
gureng,urông,0.67,4,1.00,0.30,0.30
gunteng,untông,0.71,6,1.00,1.00,1.00
gumbok,lumpôk,0.57,10,1.00,0.20,0.20
gulong,giléng,0.71,7,1.00,0.70,0.70
gulee,ulèe,0.60,6,1.00,0.20,0.20
gule,ulèe,0.60,6,1.00,0.20,0.20
gukee,ukeè,0.60,8,1.00,0.20,0.20
gugop,gugôp,0.83,1,1.00,0.10,0.10
grek,dèrèk,0.57,10,1.00,0.20,0.20
gorden,gurèe,0.50,7,1.00,0.10,0.10
gogah,gigèh,0.67,3,1.00,0.20,0.20
go-go,gordèn,0.43,7,1.00,0.20,0.20
glong,giléng,0.71,4,1.00,0.40,0.40
gleh,éleuham,0.50,10,1.00,0.40,0.40
ginseng,gunténg,0.62,3,1.00,0.10,0.10
gileng,glông,0.67,6,1.00,0.20,0.20
gigeh,gôgah,0.67,2,1.00,0.10,0.10
geureupoh,peureuséh,0.70,7,1.00,0.70,0.70
geuntot,teuntèe,0.62,8,1.00,0.40,0.40
geunteng,euntông,0.75,9,1.00,1.00,1.00
geunaseh,peunajôh,0.67,5,1.00,0.30,0.30
geumaseh,geumadèe,0.67,6,1.00,0.20,0.20
geuleumbong,meulambông,0.64,10,1.00,0.50,0.50
geometris,meuseuliséh,0.42,10,1.00,0.10,0.10
geographis,mengrôp-grôp,0.43,9,1.00,0.10,0.10
gayep,gayông,0.57,9,1.00,0.10,0.10
gareh,gabôh,0.67,10,1.00,0.30,0.30
ganje,gandôm,0.57,10,1.00,0.20,0.20
gandom,candén,0.57,9,1.00,0.10,0.10
gampong,rambông,0.62,10,1.00,0.70,0.70
gamet,gambé,0.67,5,1.00,0.10,0.10
gadoh,gabôh,0.67,7,1.00,0.30,0.30
gabong,gadéng,0.71,5,1.00,0.50,0.50
g'eng-g'ong,punggông,0.45,10,1.00,0.10,0.10
geuten,geutèn,0.86,1,1.00,0.70,0.70
geunulong,geunténg,0.67,9,1.00,0.30,0.30
geumadee,teumipèe,0.56,10,1.00,0.10,0.10
geudong,geudông,0.88,1,1.00,1.00,1.00
geologi,géodési,0.56,6,1.00,0.10,0.10
geodesi,geunaséh,0.44,10,1.00,0.10,0.10
gayong,dayông,0.71,7,1.00,0.70,0.70
gaseng,gabông,0.71,5,1.00,0.50,0.50
gaseh,gabôh,0.67,7,1.00,0.10,0.10
garo,saré,0.60,6,1.00,0.30,0.30
gaon,garô,0.60,9,1.00,0.20,0.20
gamlomlam,gamlômlam,0.90,1,1.00,0.10,0.10
gambe,damée,0.67,9,1.00,0.30,0.30
gadeng,gabông,0.71,4,1.00,0.40,0.40
gaboh,gadôh,0.67,6,1.00,0.30,0.30
euntong,untông,0.71,10,1.00,1.00,1.00
eungkot,seulangkôt,0.64,10,1.00,0.90,0.90
duane,sukèe,0.50,10,1.00,0.10,0.10
dompet,rumpét,0.57,6,1.00,0.20,0.20
do'a,dèsya,0.50,7,1.00,0.10,0.10
dhoi,èdisi,0.50,6,1.00,0.20,0.20
deumpoi,tumpôi,0.57,5,1.00,0.30,0.30
desya,dusôn,0.50,10,1.00,0.10,0.10
Desember,meusambông,0.45,7,1.00,0.10,0.10
denden,seurenè,0.50,8,1.00,0.10,0.10
dayong,dalông,0.71,5,1.00,0.50,0.50
damee,jamôe,0.67,2,1.00,0.10,0.10
cungke,singkèe,0.62,10,1.00,0.30,0.30
cumbong,lambông,0.62,8,1.00,0.40,0.40
culek,culék,0.83,1,1.00,0.20,0.20
donya,karônya,0.50,9,1.00,0.10,0.10
disket,tikèt,0.50,6,1.00,0.10,0.10
dhot,dhôi,0.60,6,1.00,0.20,0.20
deutek,reuték,0.71,4,1.00,0.50,0.50
derek,deutèk,0.57,10,1.00,0.20,0.20
dek,deutèk,0.57,10,1.00,0.30,0.30
debet,reubôt,0.57,10,1.00,0.10,0.10
darohaka,harô-hara,0.60,3,1.00,0.10,0.10
dalong,dayông,0.71,4,1.00,0.40,0.40
cungkeh,eungkôt,0.62,10,1.00,0.40,0.40
cumeh,tumôn,0.50,10,1.00,0.10,0.10
cuko,cungké,0.57,10,1.00,0.30,0.30
cukeh,ukeè,0.60,7,1.00,0.10,0.10
cukee,cukô,0.60,7,1.00,0.20,0.20
croh,kréh,0.60,10,1.00,0.70,0.70
cre-bre,reubôh,0.43,10,1.00,0.10,0.10
cre,mèe,0.50,10,1.00,0.10,0.10
cr'ek,cr'èk,0.83,1,1.00,0.10,0.10
con,céng,0.60,10,1.00,0.10,0.10
ciret,tiréh,0.50,10,1.00,0.10,0.10
cicem,cirét,0.50,10,1.00,0.10,0.10
ceureudek,ceureumèn,0.70,3,1.00,0.30,0.30
ceumarot,teumakôt,0.67,3,1.00,0.20,0.20
cetak,cètak,0.83,1,1.00,0.20,0.20
ceng,pèng,0.60,10,1.00,0.30,0.30
cedaga,syèdara,0.50,9,1.00,0.10,0.10
catetan,catètan,0.88,1,1.00,0.10,0.10
cangkoi,tangkéh,0.62,9,1.00,0.70,0.70
canden,pantôn,0.57,10,1.00,0.10,0.10
calam-malom,malèe-malèe,0.62,3,1.00,0.10,0.10
cagee,lagèe,0.67,4,1.00,0.10,0.10
cae,cagée,0.67,7,1.00,0.10,0.10
caboi,cabôi,0.83,1,1.00,0.20,0.20
coh,côh,0.75,2,1.00,0.30,0.30
cilet,cirét,0.67,6,1.00,0.10,0.10
chen,côn,0.50,9,1.00,0.10,0.10
ceureumen,keureukôn,0.70,9,1.00,1.00,1.00
ceureulong,ceureumèn,0.70,10,1.00,1.00,1.00
ceurapee,peurisèe,0.56,10,1.00,0.10,0.10
ceunulek,teunumpôk,0.60,10,1.00,0.30,0.30
ceundrong,jundrông,0.67,10,1.00,0.40,0.40
ceulop,teulôk,0.57,10,1.00,0.10,0.10
ceukong,ceukông,0.88,1,1.00,1.00,1.00
ceuken,ceukông,0.75,2,1.00,0.30,0.30
cet,mètè,0.50,10,1.00,0.20,0.20
MAP Results:,,,,0.99
MAP Percentage Accuracy:,,,,98.8%
